,Unnamed: 0,conversation_id,child_id,tweet_text,tweet_text_clean,subjectivity,vader_polarity,blob_polarity
0,0,1352466072683896833,1352475338542964741,@nytimes Back to normal.,Back to normal.,0.32499999999999996,0.0,0.075
1,1,1352466072683896833,1352474919469252615,"@nytimes Oh, happy day!!","Oh, happy day!!",1.0,0.6467,1.0
2,2,1352466072683896833,1352474319511666689,@nytimes Rightwing knuckle draggers are livid,Rightwing knuckle draggers are livid,0.0,-0.5423,0.0
3,3,1352466072683896833,1352474026422239234,@nytimes He’s THE MAN!,Hes THE MAN!,0.0,0.0,0.0
4,4,1352466072683896833,1352473634263076864,@nytimes Samsung Chief Lee Jae-Yong Jailed For 2.5 Years Over Corruption Scandal https://t.co/o4fZsAM8wY,Samsung Chief Lee Jae-Yong Jailed For Years Over Corruption Scandal,0.0,-0.7269,0.0
5,5,1352466072683896833,1352473492558663680,"@nytimes #ganesha #ganesh #lambodar #brass #statue #table #tabledecor #Homeoffice #homedecor #brassstatues #ganpati #Temple #templedecor #pooja #antique #antiques #antiquebrass
https://t.co/OlUKkf8RKB",://,0.0,0.0,0.0
6,6,1352466072683896833,1352473238635339776,@nytimes You guys completely exposed yourself this year! Nobody buys your bullshit anymore.,You guys completely exposed yourself this year! Nobody buys your bullshit anymore.,0.4,-0.6893,0.125
7,7,1352466072683896833,1352472788343390208,@nytimes I loved seeing him so happy at being able to talk freely about the science.,I loved seeing him so happy at being able to talk freely about the science.,0.8062499999999999,0.9107,0.6
8,8,1352466072683896833,1352472285207097345,@nytimes Good morning USA,Good morning USA,0.6000000000000001,0.4404,0.7
9,9,1352466072683896833,1352472273811341312,@nytimes Seriously this is disturbing on all issues that are happening in our lives. Quit blaming and show proof no matter what side you believe to be true. There is truth somewhere in the middle and let us all meet there!,Seriously this is disturbing on all issues that are happening in our lives. Quit blaming and show proof no matter what side you believe to be true. There is truth somewhere in the middle and let us all meet there!,0.5291666666666667,-0.5371,-0.12083333333333332
10,10,1352466072683896833,1352472046249377792,@nytimes POS!,POS!,0.0,0.0,0.0
11,11,1352466072683896833,1352471834361389059,@nytimes Dweeb alert!,Dweeb alert!,0.0,0.3595,0.0
12,12,1352466072683896833,1352471813935263744,"@nytimes Yes! We will inform and update in Science, no more Ignorant comments or false CDC GUIDELINES with the Darkness. 😉🙏🕊️🇺🇸","Yes! We will inform and update in Science, no more Ignorant comments or false CDC GUIDELINES with the Darkness.",0.55,0.2261,-0.32500000000000007
13,13,1352466072683896833,1352471778417893379,@nytimes Mr. Flip flopper,Mr. Flip flopper,0.0,0.0,0.0
14,14,1352466072683896833,1352471404613148672,@nytimes @WHCOS FAUCI VINDICATES TRUMPS COVID PLAN AS A SOLID FOUNDATION.,FAUCI VINDICATES TRUMPS COVID PLAN AS A SOLID FOUNDATION.,0.1,0.4939,0.0
15,15,1352466072683896833,1352470070132264962,@nytimes We can celebrate our dark ages only lasted 4 years,We can celebrate our dark ages only lasted years,0.7,0.5719,-0.075
16,16,1352466072683896833,1352469950879952897,"@nytimes “I was complicit in the Trump administration’s lies, and it’s nice for me not to have to do that anymore”
Libs: https://t.co/IeUIwhy8r5","I was complicit in the Trump administrations lies, and its nice for me not to have to do that anymoreLibs:",1.0,0.0,0.6
17,17,1352466072683896833,1352469580426469376,@nytimes https://t.co/ajjk9PlSge,,0.0,0.0,0.0
18,18,1352466072683896833,1352469170974322689,@nytimes https://t.co/5eoEiu5C6Z,,0.0,0.0,0.0
19,19,1352466072683896833,1352469005630627844,@nytimes Good to see you out from under the bus Tony!,Good to see you out from under the bus Tony!,0.6000000000000001,0.4926,0.875
20,20,1352466072683896833,1352468973783138304,@nytimes Thank you for hanging in there Sir. Sorry you were beholden to a Malignant Narcissist for so long.,Thank you for hanging in there Sir. Sorry you were beholden to a Malignant Narcissist for so long.,0.7,0.296,-0.275
21,21,1352466072683896833,1352468468931710980,"@nytimes We would always take our own precautions. He'd tell us we are crazy and wrong and then in time he'd go back on his "" scientific evidence""and in the end we were right all along. He did this the entire time. I was glad they shut him up.","We would always take our own precautions. He'd tell us we are crazy and wrong and then in time he'd go back on his "" scientific evidence""and in the end we were right all along. He did this the entire time. I was glad they shut him up.",0.7086734693877551,-0.3612,0.04081632653061224
22,22,1352466072683896833,1352468433011695617,@nytimes Oh great...the lying flip flopping Fauci is back,Oh great...the lying flip flopping Fauci is back,0.0,-0.5267,0.0
23,23,1352466072683896833,1352468371900559360,@nytimes Absolute lying non -science based criminal! I can’t wait for Trump to be back!! #arrestthecabal,Absolute lying non -science based criminal! I cant wait for Trump to be back!!,0.4833333333333334,-0.826,-0.09999999999999999
24,24,1352466072683896833,1352468213062369280,@nytimes What IS the science of the day?,What IS the science of the day?,0.0,0.0,0.0
