,Text,Category
0,"Mayor Bill de Blasio has proposed an ambitious plan for New York Citys pandemic recovery, including a City Cleanup Corps of w",health
1,Troubling. (SARS-CoV-2 was created in a lab. It behaves differently than natural viruses.) The risk of SAR-CoV-2 triggering au,health
2,"Warnings from top health officialsFauci says vaccine results are a ""wake up call"" about viral mutations. Vaccines",health
4,"Wouldn't it make sense for the world to prioritize suppressing the pandemic in South Africa, to stop the highly contagious",health
5,"When Oregon public health workers got stuck in a snowstorm while driving back from a vaccination site, they knew the doses the",health
6,New data from Novavax vaccine just showed that UK &amp; esp South African variants are more problematic in real world than,health
8,Public health workers in Oregon were driving back from a coronavirus vaccination site when they got stuck in the snow. They th,health
12,How the Novavax Vaccine Works. This NYT article from Dec is really informative,health
13,"""..in the United States, drug companiesare shielded from nearly all liabilityif their vaccines dont",health
21,Travel into the United States from South Africa by noncitizens will be banned over concerns about a coronavirus variant sp,health
27,Did you know? The development of the new vaccine involved using cells from moths!,health
31,"The AFT estimates teachers across the country have died from COVID. While where they contracted it is unknown, we mu",health
47,"This is an important piece of data about the prevention of severe disease from the J&amp;J vaccine data:After days, none of",health
49,"""With a jackknifed tractor-trailer ahead of them, the crew realized they could be stuck for hours and the doses would expire",health
54,"Breaking NewsThe EU authorized AstraZenecas coronavirus vaccine, but moved to temporarily restrict doses made in the bloc f",health
56,"This is extremely sad &amp; disappointing, as our youth deserve nothing but happiness &amp; nurturing. However, I don'",health
57,"Wowwith a jackknifed tractor-trailer ahead of them, the crew realized they could be stuck for hours and the doses wo",health
60,Johnson &amp; Johnsons vaccine offers strong protection but fuels concern about variants. The vaccines efficacy rate droppe,health
65,This is an important piece of data about the prevention of severe disease from the J&amp;J vaccine data:After day,health
69,Did you know? The development of the new vaccine involved using cells from moths!,health
71,"During medical school , I was part of The Program in Medical Education for the Urban Underserved (PRIME-US), w",health
73,Backlash Over Virus at SUNY CollegeLearn From Your Fall Mistakes!,health
74,"""With a jackknifed tractor-trailer ahead of them, the crew realized they could be stuck for hours and the doses wou",health
76,New from Health care unions find a voice in the coronavirus pandemic.,health
77,New from Health care unions find a voice in the coronavirus pandemic.,health
82,"When an autocratic president like Tanzania's John Magufuli undermines the democratic checks and balances on his power, he make",health
94,Public health workers in Oregon were driving back from a vaccination site when their car broke down in a snow storm. So t,health
100,"Italy, this year's president of the Group of rich and emerging nations, will push its members to extend debt relief",health
102,"Italy, this year's president of the Group of rich and emerging nations, will push its members to extend debt rel",health
103,Setback turned to success for six people stranded on a snowy roadway in Oregon when a COVID-19 vaccine team returning,health
108,"Laurent Fignon, a geriatric doctor in the south of France, is having to improvise as he gives shots of the COVID-19 vac",health
114,research finds that while support for causes from leading foundations would rise to $90 million thi,health
118,The lessons learned from this pandemic best never be brushed under the carpet and forgotten as one day in the futur,health
120,"AZ and UK govt have represented UK doses as made in UK, and visa versa for EU.However, on December , the UK's Vaccine",health
122,"Britain added the UAE to its coronavirus travel ban list, shutting down the world's busiest international airline route from D",health
123,. is re-opening to give more Americans the chance to amid the COVID-19 pandemic,health
124,The vaccine program led by was awarded up to $2.1 million from to conti,health
125,"Early results on Pfizer COVID-19 vaccine encouraging, says Israeli HMO | Article [AMP] | Reuters99.99% effective in preven",health
126,Beautiful infographic about COVID-19 vaccines From labs to jabs via,health
128,"Laurent Fignon, a geriatric doctor in the south of France, is having to improvise as he gives shots of the COVID-19",health
129,"The world has a global responsibility to safeguard the health of refugees from , says .J",health
131,From In 'Mission Economy Mariana Mazzucato wants states to embrace the s spirit of the U.S. moon race to,health
132,The journey of COVID-19 vaccines from creation to inoculation,health
134,The journey of COVID-19 vaccines from creation to inoculation,health
135,"The Legacy of Trump. Because, proper masking from the start would have allowed our economy to stay much more open",health
136,"Working from home was an adjustment for everyone, including our CEO ! See how he leads and stays",health
137,Walmart Inc will add small robot-staffed warehouses to dozens of its stores to help fill orders for pickup and deli,health
146,"Italy, this year's president of the Group of rich and emerging nations, will push its members to extend debt rel",health
151,From In 'Mission Economy Mariana Mazzucato wants states to embrace the s spirit of the U.S. mo,health
152,"Fantastic news from ! Data not yet peer reviewed, but it appears the Pfizer COVID19 vaccine remains effect",health
